unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,room_Bathroom,room_Bedroom,room_Dining room,room_Living room,room_Office,view_By yourself,view_Coworkers/Classmates,view_Family members,view_Friends,view_Strangers,season_Fall,season_Spring,season_Summer,season_Winter
1.0,The Persistence of Memory,,,,,,,0.4655009321838974,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,The Starry Night,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,The Water Lily Pond,,,-0.5180793304285297,1.2189933601853182,1.046475683858284,-0.9800578175219782,,,,,,,,Something fairly dreamy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,The Persistence of Memory,-0.6304019461527285,"The clocks are burnt on a hot desert, it embodies the melancholy of time passing. The dominant yellow hue intensifies this sensation.",0.9213874634329337,-0.3213918463765434,-1.3692990312870437,-0.9800578175219782,-0.7236530988899419,0.08142859787281082,-0.07962857530726106,Bathroom,By yourself,Fall,Fries,A country song that contrasts nostalgia for the past with dissatisfaction with the present.,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2.0,The Starry Night,0.3144627974953894,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,The Water Lily Pond,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,The Persistence of Memory,0.3144627974953894,This painting makes me feel dread. The clock reminds me of a ticking time until the death of the creature in the picture.,0.9213874634329337,-1.861777052938405,-2.17455726966882,1.112048637060993,0.06911625515928428,-0.29225058414625227,-0.07962848271640624,"Bathroom,Dining room","Coworkers/Classmates,By yourself",Fall,Sardines,A melancholy instrumental with a monotone voice singing gloomy lyrics like Creep by radiohead.,1,0,1,0,0,1,1,0,0,0,1,0,0,0
3.0,The Starry Night,-0.15796957432866957,Woozy,0.201654066502202,-0.3213918463765434,0.24121744547650806,-0.9800578175219782,-0.32726842186532884,-0.29225058414625227,-0.07962820494384179,"Bathroom,Office",By yourself,Winter,Escargot,"A psychedelic song, with almost unintelligible lyrics.",1,0,0,0,1,1,0,0,0,0,0,0,0,1
3.0,The Water Lily Pond,0.3144627974953894,"It makes me feel warm, and reminds of my childhood.",-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,-0.32726842186532884,-1.0396089481843784,-0.07962820494384179,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,The Persistence of Memory,0.3144627974953894,Deflated,0.9213874634329337,-1.861777052938405,-1.3692990312870437,1.112048637060993,2.4474243173069627,1.20246614393,,"Bedroom,Bathroom",Coworkers/Classmates,Winter,a,q,1,1,0,0,0,0,1,0,0,0,0,0,0,1
4.0,The Starry Night,-2.5201314334489644,s,1.6411208603636653,1.2189933601853182,1.046475683858284,1.112048637060993,-1.120037775914555,0.8287869619109369,-0.07962857530726106,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,The Water Lily Pond,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,The Persistence of Memory,0.3144627974953894,The painting gives me a sense of calmness and plenitude. It has an ominous and nostalgic feeling similar to time passing. ,0.201654066502202,0.4488007569043874,1.046475683858284,0.41467981886666927,0.06911625515928428,0.8287869619109369,-0.07962301985597203,Living room,Friends,"Spring,Summer",Churros.,Radiohead's album in rainbows.,0,0,0,1,0,0,0,0,1,0,0,1,1,0
5.0,The Starry Night,1.2593275411435074,"It makes me feel really happy because i have good memories linked to this painting. It is also nostalgic, and calm. A sense of wonder and imagination.",-0.5180793304285297,1.2189933601853182,0.24121744547650806,-0.9800578175219782,-0.32726842186532884,0.08142859787281082,-0.07961561258758665,Bedroom,By yourself,"Fall,Winter","Soup, in a cold day.",La la land soundtrack,0,1,0,0,0,1,0,0,0,0,1,0,0,1
5.0,The Water Lily Pond,-0.6304019461527285,"It is pretty neutral, maybe some happiness childhood like.",-1.2378127273592614,0.4488007569043874,0.24121744547650806,-0.9800578175219782,0.06911625515928428,-0.6659297661653153,-0.07962672349016471,"Bedroom,Living room,Dining room",By yourself,"Spring,Summer","Milk and biscuits, something refreshi","Jazzy music, happy upbeat. or piano debussy.",0,1,1,1,0,1,0,0,0,0,0,1,1,0
6.0,The Persistence of Memory,0.3144627974953894,"This painting makes me feel a bit confused and bewildered, as the objects and art style make me feel detached from reality.",0.9213874634329337,-1.0915844496574743,-2.17455726966882,1.8094174552553168,0.4655009321838974,0.8287869619109369,-0.07796193992055064,"Office,Living room","Friends,Family members,By yourself","Summer,Fall",Shepherd's pie,"The soundtrack should sound heavy, sombre, and like a finale to an event. It should be slow but without too much emotion.",0,0,0,1,1,1,0,1,1,0,1,0,1,0
6.0,The Starry Night,-0.15796957432866957,"It makes me feel calm and in awe, as if I were transported to a more soothing parallel universe.",0.201654066502202,-0.3213918463765434,0.24121744547650806,-0.28268899932765446,-0.32726842186532884,0.4551077798918739,-0.07833230333981962,"Bathroom,Office","Family members,By yourself",Winter,Cold noodles,"It should sound content and upbeat without being too fiery, evoking a scene of reminiscing of a brilliant night out.",1,0,0,0,1,1,0,1,0,0,0,0,0,1
6.0,The Water Lily Pond,-1.1028343179767874,"It makes me feel happy and at ease, as if nothing in the world could stress or concern me, and only the current moment matters.",-1.2378127273592614,0.4488007569043874,1.046475683858284,-0.9800578175219782,-0.7236530988899419,-0.29225058414625227,-0.07851748504945412,"Bedroom,Bathroom","Friends,Family members",Spring,"A refreshing drink, like cold water","It would be joyous, serene, and slow.",1,1,0,0,0,0,0,1,1,0,0,1,0,0
7.0,The Persistence of Memory,0.7868951693194484,It has a sorrow feeling and clock is melting feel like time is decaying.,0.9213874634329337,-1.0915844496574743,-1.3692990312870437,1.112048637060993,-0.32726842186532884,-0.29225058414625227,-0.07962857530726106,Office,By yourself,Winter,10 days old lasagna,"A truly sorrow, minor key orchestra piece",0,0,0,0,1,1,0,0,0,0,0,0,0,1
7.0,The Starry Night,-0.6304019461527285,"Dreamy, Unrealistic, Calm",-0.5180793304285297,-0.3213918463765434,0.24121744547650806,-0.28268899932765446,-0.32726842186532884,-0.6659297661653153,-0.07962672349016471,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer,Fall,Winter",A treat like chocolate or cupcakes.,A melancholy relaxing piece of orchestra,1,1,1,1,1,1,0,1,1,0,1,1,1,1
7.0,The Water Lily Pond,-0.15796957432866957,"Naturalistic, and fresh",-1.2378127273592614,0.4488007569043874,0.24121744547650806,-0.9800578175219782,-0.32726842186532884,-1.0396089481843784,-0.07962672349016471,Bedroom,"Friends,Family members",Spring,Ramen,"Orchestra, bossa nova",0,1,0,0,0,0,0,1,1,0,0,1,0,0
8.0,The Persistence of Memory,-1.1028343179767874,"The painting makes me feel somewhat sad, thinking about the passage of time.",0.9213874634329337,-1.0915844496574743,-1.3692990312870437,1.112048637060993,1.2582702862331236,1.5761453259490632,-0.07962579758161654,Office,By yourself,Winter,Grilled Salmon with a Beurre Blanc sauce.,"Slow, somewhat sad piano or violin piece.",0,0,0,0,1,1,0,0,0,0,0,0,0,1
8.0,The Starry Night,-1.5752666898008465,"Makes me feel calm, reminiscent of staring at the moon on a dark night.",-0.5180793304285297,0.4488007569043874,0.24121744547650806,-0.28268899932765446,0.06911625515928428,-0.29225058414625227,-0.0796239457645202,Bedroom,By yourself,Winter,A bowl of ramen with a hearty broth.,"Something like ""Prisonic Fairytale"" from the Silent Hill 2 Soundtrack.",0,1,0,0,0,1,0,0,0,0,0,0,0,1
