unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
1,The Persistence of Memory,,,,,,,5,,,,,,,
1,The Starry Night,,,,,,,,,,,,,,
1,The Water Lily Pond,,,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,,,,,,,,Something fairly dreamy 
2,The Persistence of Memory,5,"The clocks are burnt on a hot desert, it embodies the melancholy of time passing. The dominant yellow hue intensifies this sensation.",4 - Agree,3 - Neutral/Unsure,2 - Disagree,1 - Strongly disagree,2,4,0,Bathroom,By yourself,Fall,Fries,A country song that contrasts nostalgia for the past with dissatisfaction with the present.
2,The Starry Night,7,,,,,,,,,,,,,
2,The Water Lily Pond,,,,,,,,,,,,,,
3,The Persistence of Memory,7,This painting makes me feel dread. The clock reminds me of a ticking time until the death of the creature in the picture.,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,4,3,$5,"Bathroom,Dining room","Coworkers/Classmates,By yourself",Fall,Sardines,A melancholy instrumental with a monotone voice singing gloomy lyrics like Creep by radiohead.
3,The Starry Night,6,Woozy,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,3,3,$20,"Bathroom,Office",By yourself,Winter,Escargot,"A psychedelic song, with almost unintelligible lyrics."
3,The Water Lily Pond,7,"It makes me feel warm, and reminds of my childhood.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,$20,,,,,
4,The Persistence of Memory,7,Deflated,4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,10,7,a,"Bedroom,Bathroom",Coworkers/Classmates,Winter,a,q
4,The Starry Night,1,s,5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,4 - Agree,1,6,@000,,,,,
4,The Water Lily Pond,,,,,,,,,,,,,,
5,The Persistence of Memory,7,The painting gives me a sense of calmness and plenitude. It has an ominous and nostalgic feeling similar to time passing. ,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,3 - Neutral/Unsure,4,6,300 dollars.,Living room,Friends,"Spring,Summer",Churros.,Radiohead's album in rainbows.
5,The Starry Night,9,"It makes me feel really happy because i have good memories linked to this painting. It is also nostalgic, and calm. A sense of wonder and imagination.",2 - Disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,4,700 dollars.,Bedroom,By yourself,"Fall,Winter","Soup, in a cold day.",La la land soundtrack
